longitude,latitude,sq_error,RMSE_C
89.5,22.7,6.968125996837111,2.6397208179724445
89.5,22.95,7.399276979700424,2.720161204726739
89.5,23.2,7.771995794272882,2.7878299435713223
89.5,23.45,8.107285450477038,2.8473295296605623
89.5,23.7,8.375140707156286,2.8939835360893618
89.5,23.95,8.065434963068714,2.8399709440536034
89.5,24.2,7.69656232691539,2.7742678902577866
89.5,24.45,7.337832805576174,2.7088434442721443
89.5,24.7,7.252893442305159,2.693119648716922
89.5,24.95,7.278169995081847,2.697808368858294
89.5,25.2,7.058818855071637,2.656843776941286
89.5,25.45,7.220713204772918,2.687138478897751
89.5,25.7,7.7033181380393305,2.7754852076779892
89.5,25.95,8.049178673452435,2.837107448344605
89.75,21.95,5.567651818367357,2.3595872135539633
89.75,22.2,5.615965539832035,2.3698028483044817
89.75,22.45,6.473957528402757,2.544397281951613
89.75,22.7,7.126665381345394,2.6695814992888667
89.75,22.95,7.773509469872404,2.788101409538829
89.75,23.2,8.17837225925832,2.8597853519553387
89.75,23.45,8.212541933233902,2.865753292458006
89.75,23.7,8.290562042555461,2.8793336108473886
89.75,23.95,7.845758785396981,2.801028165762883
89.75,24.2,7.636364716165516,2.763397314206829
89.75,24.45,7.283208984354286,2.6987421114945915
89.75,24.7,7.0595326626355535,2.6569781072932375
89.75,24.95,7.138629080661133,2.671821304028608
89.75,25.2,6.920129931184084,2.6306139836897553
89.75,25.45,7.125692066803644,2.669399195849816
89.75,25.7,7.394000745017488,2.719191193170772
89.75,25.95,7.332736667388089,2.7079026325531146
90.0,22.2,6.475299809216444,2.544661040141976
90.0,22.45,6.863495921950315,2.619827460339767
90.0,22.7,7.082690864218434,2.6613325354450605
90.0,22.95,7.36665699548612,2.7141586164935387
90.0,23.2,7.910631849345194,2.812584549723829
90.0,23.45,8.14785239297264,2.854444322976477
90.0,23.7,8.471816391612325,2.9106384852145974
90.0,23.95,8.12954087724207,2.8512349740493277
90.0,24.2,8.379142501652021,2.8946748524924213
90.0,24.45,7.7979549238467305,2.792481857389002
90.0,24.7,7.543745487246613,2.74658797187467
90.0,24.95,7.842871823702875,2.8005127787072985
90.0,25.2,7.215656735760928,2.686197449139011
90.25,21.95,5.716944700647999,2.391013320884683
90.25,22.2,6.706119356088989,2.5896176080821256
90.25,22.45,7.20287791754782,2.683817787694951
90.25,22.7,7.457700526980095,2.7308790758618544
90.25,22.95,7.827677058310091,2.7977986093194933
90.25,23.2,8.373326813859915,2.8936701287223316
90.25,23.45,8.258679849012406,2.873791893824674
90.25,23.7,8.773183132104897,2.961955963903734
90.25,23.95,8.348744945071376,2.8894194823651644
90.25,24.2,8.347335923079186,2.8891756476682384
90.25,24.45,7.888487702361835,2.808645172029004
90.25,24.7,7.962887333297609,2.82185884361667
90.25,24.95,7.291010292843396,2.7001870847856813
90.25,25.2,5.222885111744306,2.2853632340930634
90.5,22.2,6.951828858455357,2.6366321052538515
90.5,22.45,7.507488597049172,2.73997967091896
90.5,22.7,8.05523074142484,2.838173839183365
90.5,23.2,8.533679617521257,2.9212462439036626
90.5,23.45,8.512385142221323,2.917599208633928
90.5,23.7,9.036781729532294,3.006124037615929
90.5,23.95,8.712997446677122,2.9517786920223408
